country,name,teams,maps,rounds,K/D Diff,K/D,Rating 1.0
United States,reltuC,CLG,372,9877,-485,0.93,0.92
Russia,KaiR0N-,BetBoom,77,1800,-122,0.91,0.92
Sweden,Jackinho,Metizport,90,2263,-144,0.91,0.92
Sweden,pyth,Ninjas in Pyjamas,204,5335,-350,0.91,0.92
Canada,Uber,Enemy,132,3356,-246,0.9,0.92
Germany,mirbit,Sprout,97,2520,-78,0.95,0.92
Russia,Dosia,Gambit,466,12377,-765,0.91,0.92
United States,Relyks,eUnited,261,6758,-536,0.89,0.92
Russia,Boombl4,Cloud9,687,17898,-1117,0.91,0.92
Australia,Liazz,Renegades,388,10309,-554,0.92,0.91
Russia,SELLTER,Aurora,118,2981,-156,0.92,0.91
Poland,TaZ,Virtus.pro,665,17605,-1031,0.91,0.91
Poland,phr,AGO,394,10414,-643,0.91,0.91
Turkey,DESPE,Space Soldiers,167,4425,-233,0.92,0.91
Sweden,isak,GamerLegion,237,6061,-337,0.92,0.91
Russia,interz,Gambit,451,12142,-380,0.95,0.91
Belarus,mds,Nemiga,108,2974,-170,0.91,0.91
Belgium,Ex6TenZ,LDLC,401,10666,-720,0.9,0.91
Denmark,AcilioN,SK,529,14118,-900,0.91,0.91
Poland,Vegi,Virtus.pro,77,2078,-159,0.89,0.91
Finland,Jamppi,ENCE,51,1394,-109,0.89,0.91
Brazil,ableJ,FURIA,92,2406,-127,0.92,0.91
Sweden,Xizt,Ninjas in Pyjamas,733,19247,-1061,0.92,0.91
United States,s0m,Gen.G,89,2453,-177,0.9,0.91
Poland,Hyper,Vexed,165,4295,-254,0.91,0.91
Germany,stfN,ALTERNATE aTTaX,76,2003,-163,0.89,0.91
Denmark,Altekz,Preasy,71,1763,-107,0.91,0.91
United Kingdom,Thomas,Endpoint,155,4200,-305,0.9,0.91
Russia,nafany,Gambit,585,15485,-1157,0.89,0.91
Argentina,meyern,MIBR,86,2257,-140,0.91,0.91
Denmark,maNkz,ECSTATIC,220,5998,-386,0.91,0.91
France,xms,Envy,318,8319,-685,0.88,0.91
United States,hazed,CLG,243,6292,-525,0.88,0.91
Czech Republic,ZEDKO,SINNERS,186,4987,-347,0.9,0.91
Serbia,LETN1,Valiance,269,7117,-356,0.92,0.91
China,zhokiNg,VG.CyberZen,104,2747,-273,0.87,0.91
Bulgaria,niki1,500,59,1525,-124,0.88,0.91
France,devoduvek,Misfits,191,5111,-424,0.88,0.91
Russia,NickelBack,Entropiq,408,10967,-719,0.9,0.91
Sweden,Bååten,x6tence Galaxy,62,1648,-146,0.87,0.91
Lithuania,Kvik,Winstrike,92,2390,-195,0.89,0.91
Spain,DeathZz,Movistar Riders,129,3470,-204,0.91,0.91
Australia,yam,Renegades,150,3939,-295,0.89,0.91
Turkey,MAJ3R,Eternal Fire,520,13551,-830,0.91,0.91
Portugal,MUTiRiS,SAW,269,6987,-445,0.91,0.9
United States,freakazoid,Cloud9,217,5669,-468,0.89,0.9
Denmark,Snappi,HEROIC,1215,32047,-2258,0.9,0.9
United Kingdom,Surreal,Endpoint,330,8723,-668,0.89,0.9
France,SIXER,Envy,326,8565,-467,0.92,0.9
Poland,kaper,AGO,108,2795,-181,0.9,0.9
Uruguay,max,9z,119,3117,-214,0.9,0.9
Russia,kinqie,Hard Legion,78,2088,-166,0.89,0.9
Germany,tiziaN,BIG,892,24017,-1556,0.9,0.9
Poland,oskarish,Illuminar,112,2970,-218,0.9,0.9
Mongolia,mzinho,TheMongolz,57,1402,-112,0.88,0.9
Russia,tonyblack,Spirit,81,2108,-144,0.9,0.9
Finland,SAGGERTON,iGame.com,81,2111,-198,0.87,0.9
Poland,NEO,Virtus.pro,731,19146,-1504,0.89,0.9
Russia,Dimaoneshot,Spirit,199,5192,-527,0.86,0.9
China,captainMo,TYLOO,205,5619,-536,0.87,0.9
China,aumaN,ViCi,64,1581,-145,0.87,0.9
United States,arya,Splyce,70,1754,-179,0.86,0.9
Brazil,Maluk3,TeamOne,57,1481,-114,0.89,0.9
China,LOVEYY,VG.CyberZen,55,1497,-147,0.87,0.9
United States,vice,Rogue,78,1968,-154,0.89,0.9
Australia,dexter,MOUZ,448,11945,-1057,0.88,0.89
Sweden,PlesseN,Finest,80,2179,-198,0.88,0.89
